AE,AFM,ARCH,BME,CFM,CHE,CIVE,CS,CSBBA,ECE,ENVE,MATH,MATH BBA,MATH CPA,MATH FARM,ME,MSCI,MTE,NE,SCI,SCIBUS,SE,SYDE
73,87,73,78.5,94,77.7,77,87,81.7,79.9,74.9,86.7,82.7,98.5,97,78.9,76.4,77.9,72.9,85.33,93.5,80.2,75.9
74,92.66,83,79,97,80.1,79,88,95.67,80,76.67,91,95.13,99,99.16,79.9,77,79.6,78.2,91,93.5,80.2,80.7
74,93,,81,97.33,82,79.5,90,97,80.03,85.3,91.25,97,101.66,99.17,82,79.07,79.7,79,91.5,,80.5,81.2
81.5,93.2,,83.2,98,83,83.7,92.8,97.33,80.7,,92,97.3,,101.6,82.17,79.3,79.83,80,92,,80.9,81.5
83,95.5,,83.5,98.17,85.7,84.5,93,98,81.17,,92,98.5,,,82.3,80,79.9,80.5,92,,81.34,81.5
88,96.1,,83.87,98.5,88.6,85.6,93,98,81.2,,92.8,98.5,,,82.93,81,80.4,82,92.8,,82,81.7
88,97,,84,98.5,,87.2,93.66,98,81.33333,,93,100.5,,,83,81.9,81,83,94.3,,82.53,81.7
,97,,84.4,98.7,,88,94,98,81.7,,94,101.66,,,83,82,81.7,83,96,,82.67,81.9
,97.3,,84.7,99,,88,94,98,82,,94,103.3,,,83.4,82.1,81.83,84.6,97.5,,82.8,82.4
,98,,85.4,99.17,,88,94.3,98,82.2,,94.5,,,,83.4,82.6,82,87.9,,,82.9,82.7
,98.1,,85.67,99.5,,90,95,98.17,82.33,,94.6,,,,83.5,83,82.067,,,,83,82.73
,98.5,,86,99.5,,,95,98.5,82.37,,94.8,,,,83.7,83.5,82.9,,,,83,83
,99,,86.9,100,,,95,98.5,82.7,,95,,,,84,83.7,83,,,,83.65,83.5
,99.83,,87,100.33,,,95,98.7,82.87,,95,,,,84.4,83.9,83,,,,83.67,83.7
,100,,87.2,100.5,,,95,99,82.9,,95,,,,84.4,84,83.03,,,,83.96,83.8
,100,,87.2,100.5,,,95.5,99.2,83,,95,,,,84.57,84.7,83.4,,,,84.2,84.1
,100,,87.2,101.25,,,96,100,83,,95.33,,,,84.9333,84.9,83.7,,,,84.36,84.2
,102.25,,87.5,101.5,,,96,100,83,,96.5,,,,85.57,85.2,84,,,,84.5,84.36
,,,87.7,101.7,,,96.17,100.5,83,,97,,,,85.9,85.45,84.5,,,,84.7,84.3666
,,,87.83,102,,,96.2,100.83,83.2,,97,,,,86.9,86,84.7,,,,84.7,84.53
,,,88.6,,,,96.33,101,83.3,,97,,,,88.2,86.8,84.73,,,,84.9,84.7
,,,89,,,,96.5,101,83.5,,98,,,,88.2,88.6,85,,,,85.7,84.7
,,,89.3,,,,96.67,101.12,83.5,,98,,,,88.7,91.3,85,,,,85.7,84.7
,,,89.4,,,,96.8,101.17,83.5,,98.17,,,,89.6,92,85,,,,85.9,84.7
,,,89.4,,,,96.83,101.25,83.5,,98.5,,,,89.9,103,85.2,,,,85.95,85
,,,89.7,,,,97,101.33,83.53,,99,,,,90.2,,85.2,,,,86,85
,,,90.23,,,,97,101.5,83.7,,99.2,,,,,,85.4,,,,86,85.5
,,,91.2,,,,97,102,83.9,,99.33,,,,,,85.4,,,,86.166,85.7
,,,,,,,97,102.33,84,,99.5,,,,,,85.5,,,,86.2,85.8
,,,,,,,97,102.33,84,,99.5,,,,,,85.53,,,,86.2,85.9
,,,,,,,97,103,84,,99.8,,,,,,85.7,,,,86.2,86.1
,,,,,,,97,,84,,99.83,,,,,,85.9,,,,86.3,86.4
,,,,,,,97,,84.2,,100,,,,,,85.9,,,,86.3,87.25
,,,,,,,97.1,,84.3,,100,,,,,,86,,,,86.7,87.43
,,,,,,,97.13,,84.4,,100,,,,,,86,,,,86.7,87.7
,,,,,,,97.2,,84.5,,101,,,,,,86.3,,,,86.8,88.36
,,,,,,,97.3,,84.5,,101,,,,,,86.6,,,,86.83,88.4
,,,,,,,97.3,,84.666,,101.5,,,,,,86.833,,,,87,88.53
,,,,,,,97.33,,84.7,,102,,,,,,86.9,,,,87,89
,,,,,,,97.5,,84.7,,103.7,,,,,,87,,,,87,89
,,,,,,,97.5,,84.9,,,,,,,,87.2,,,,87.2,89.1
,,,,,,,97.5,,85,,,,,,,,87.2,,,,87.2,89.7
,,,,,,,97.5,,85,,,,,,,,87.5,,,,87.4,89.7
,,,,,,,97.66,,85.25,,,,,,,,87.8,,,,87.53,90
,,,,,,,97.67,,85.6,,,,,,,,88.45,,,,87.7,90.5
,,,,,,,97.7,,85.6,,,,,,,,88.9,,,,87.73,
,,,,,,,97.75,,85.7,,,,,,,,89.2,,,,87.75,
,,,,,,,97.83,,85.7,,,,,,,,89.5,,,,87.9,
,,,,,,,97.83,,85.7,,,,,,,,90,,,,88,
,,,,,,,97.83,,85.8,,,,,,,,90,,,,88,
,,,,,,,97.83,,85.86,,,,,,,,90.5,,,,88.2,
,,,,,,,98,,85.95,,,,,,,,103.5,,,,88.37,
,,,,,,,98,,86,,,,,,,,,,,,88.4,
,,,,,,,98,,86.2,,,,,,,,,,,,88.5,
,,,,,,,98,,86.2,,,,,,,,,,,,88.5,
,,,,,,,98,,86.23,,,,,,,,,,,,89,
,,,,,,,98,,86.37,,,,,,,,,,,,89,
,,,,,,,98,,86.4,,,,,,,,,,,,89,
,,,,,,,98,,86.5,,,,,,,,,,,,89.03,
,,,,,,,98,,86.5,,,,,,,,,,,,89.2,
,,,,,,,98,,86.67,,,,,,,,,,,,89.3,
,,,,,,,98,,86.95,,,,,,,,,,,,89.4,
,,,,,,,98,,87,,,,,,,,,,,,89.5,
,,,,,,,98.3,,87,,,,,,,,,,,,89.5,
,,,,,,,98.3,,87.2,,,,,,,,,,,,89.5,
